Name;Type(s);Height;Weight;Abilities;Sprite Link;Official Art Link;Total Base Stats;Habitat;Color;Is Legendary;Is Mythical;HP;Attack;Defense;Special Attack;Special Defense;Speed;No Damage From;Quarter Damage From;Half Damage From;Normal Damage From;Double Damage From;Quadruple Damage From
bulbasaur;grass,poison;0.7 m;6.9 kg;overgrow or chlorophyll;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png;318;grassland;green;false;false;45;49;49;65;65;45;;grass;water,electric,fighting,fairy;ground,poison,bug;flying,fire,ice,psychic;
ivysaur;grass,poison;1 m;13 kg;overgrow or chlorophyll;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png;405;grassland;green;false;false;60;62;63;80;80;60;;grass;water,electric,fighting,fairy;ground,poison,bug;flying,fire,ice,psychic;
venusaur;grass,poison;2 m;100 kg;overgrow or chlorophyll;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png;525;grassland;green;false;false;80;82;83;100;100;80;;grass;water,electric,fighting,fairy;ground,poison,bug;flying,fire,ice,psychic;
charmander;fire;0.6 m;8.5 kg;blaze or solar-power;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png;309;mountain;red;false;false;39;52;43;60;50;65;;;bug,steel,fire,grass,ice,fairy;;ground,rock,water;
charmeleon;fire;1.1 m;19 kg;blaze or solar-power;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png;405;mountain;red;false;false;58;64;58;80;65;80;;;bug,steel,fire,grass,ice,fairy;;ground,rock,water;
charizard;fire,flying;1.7 m;90.5 kg;blaze or solar-power;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png;534;mountain;red;false;false;78;84;78;109;85;100;ground;bug,grass;steel,fire,fairy,fighting;ice;water,electric;rock
squirtle;water;0.5 m;9 kg;torrent or rain-dish;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png;314;waters-edge;blue;false;false;44;48;65;50;64;43;;;steel,fire,water,ice;;grass,electric;
wartortle;water;1 m;22.5 kg;torrent or rain-dish;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png;405;waters-edge;blue;false;false;59;63;80;65;80;58;;;steel,fire,water,ice;;grass,electric;
blastoise;water;1.6 m;85.5 kg;torrent or rain-dish;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png;530;waters-edge;blue;false;false;79;83;100;85;105;78;;;steel,fire,water,ice;;grass,electric;
caterpie;bug;0.3 m;2.9 kg;shield-dust or run-away;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png;195;forest;green;false;false;45;30;35;20;20;45;;;fighting,ground,grass;;flying,rock,fire;
metapod;bug;0.7 m;9.9 kg;shed-skin;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png;205;forest;green;false;false;50;20;55;25;25;30;;;fighting,ground,grass;;flying,rock,fire;
butterfree;bug,flying;1.1 m;32 kg;compound-eyes or tinted-lens;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png;395;forest;white;false;false;60;45;50;90;80;70;ground;fighting,grass;bug;;flying,fire,electric,ice;rock
